순위,Top Keyword,1,,순위,Top Keyword,1
1,영화,0.063223861,,1,영화,0.034262341
2,액션,0.013722588,,2,마지막,0.024978735
3,추천,0.012090538,,3,눈물,0.016161555
4,우리,0.011521081,,4,감동적,0.014666881
5,한국,0.011096137,,5,장면,0.01292874
6,나라,0.008688493,,6,생각,0.008951274
7,볼만,0.008290879,,7,완전,0.008275542
8,정도,0.007217133,,8,필요,0.008223539
9,아이,0.007116548,,9,이야기,0.007934935
10,요즘,0.006745664,,10,작품,0.007401008
11,생각,0.006655714,,11,대박,0.007070514
12,애니메이션,0.006115821,,12,사람,0.006918839
13,걸작,0.005610286,,13,무엇,0.00690762
14,작품,0.005568457,,14,하다,0.006396193
15,이상,0.005304969,,15,모습,0.00597541
16,우리나라,0.005013517,,16,연기,0.005605421
17,감독,0.004950422,,17,현실,0.005267576
18,재미,0.004561305,,18,이해,0.005019031
19,개봉,0.004492463,,19,사랑,0.004788267
20,보고,0.004466309,,20,우리,0.004349217
21,예전,0.004397914,,21,당시,0.004111631
22,그녀,0.004276397,,22,마음,0.003763868
23,수준,0.004180278,,23,지금,0.003649988
24,한국영화,0.004124581,,24,개인적,0.003649568
25,이유,0.004002487,,25,인물,0.003498796
26,극장,0.003660484,,26,감독,0.003284422
27,아들,0.003659911,,27,예술,0.003270855
28,가치,0.003605572,,28,세상,0.003253978
29,사랑,0.003585546,,29,이상,0.003165251
30,하나하나,0.003379189,,30,스토리,0.00316046
31,현실적,0.003300195,,31,여자,0.003086265
32,로맨스,0.003106203,,32,인생,0.003064626
33,연기,0.003093813,,33,번째,0.002946899
34,여배우,0.003049492,,34,순수,0.002925952
35,있음,0.003045775,,35,처음,0.002902066
36,소름,0.003036002,,36,미래,0.002586141
37,실적,0.002999124,,37,단순,0.002585769
38,나도,0.002916614,,38,아이,0.00256446
39,최고,0.002831978,,39,부분,0.002552267
40,교훈,0.002780524,,40,비교,0.002491243
41,하나,0.002769929,,41,사이,0.002451841
42,명작,0.002715977,,42,내가,0.00242446
43,액션영화,0.002696018,,43,조금,0.002385208
44,별점,0.002668034,,44,압권,0.00235383
45,기대,0.002582426,,45,과정,0.002334899
46,한번,0.002500481,,46,관계,0.002329477
47,내가,0.002467706,,47,동화,0.002274407
48,사회,0.002417027,,48,소장,0.002244252
49,분위기,0.002409863,,49,완벽,0.002241191
50,나이,0.002388644,,50,제일,0.002235957
51,보기,0.002353381,,51,디즈니,0.002189882
52,처음,0.002334765,,52,누구,0.002183003
53,사람,0.002332944,,53,드라마,0.002170545
54,라니,0.002331917,,54,희망,0.002165577
55,쓰레기,0.002330166,,55,대사,0.002146098
56,기분,0.002274193,,56,상상,0.002132212
57,지금,0.002210451,,57,가족,0.002080774
58,제가,0.002078795,,58,아버지,0.002066241
59,스타,0.002064654,,59,내용,0.002063149
60,언니,0.002050444,,60,몰입,0.002056961
61,코메디,0.002038383,,61,머리,0.002055321
62,현실,0.002025819,,62,가지,0.002043611
63,내용,0.002016484,,63,모두,0.002039147
64,때문,0.001961627,,64,보시,0.002026405
65,시간,0.001940613,,65,지도,0.002013453
66,진심,0.001884685,,66,사실,0.002008005
67,년도,0.001881962,,67,민국,0.001994458
68,자체,0.001870099,,68,아름다움,0.001973004
69,평점,0.001863134,,69,대한,0.001965359
70,눈빛,0.001859123,,70,재밋게,0.001952329
71,마음,0.001844981,,71,대한민국,0.00192563
72,이연,0.001842417,,72,이것,0.001874697
73,느낌,0.001819526,,73,중국,0.001868377
74,후반,0.001813967,,74,서로,0.001847983
75,타임,0.001790159,,75,그것,0.001840367
76,티비,0.001786499,,76,편이,0.001815464
77,감동적,0.001764715,,77,관심,0.001813076
78,장르,0.00175709,,78,조화,0.001798938
